artist,name,album_art_url,genres,type,release_date,
Resistor,HEADCASE,https://cdn2.albumoftheyear.org/375x/album/1205450-headcase_032505.jpg,"[""Beatdown Hardcore"", ""Djent""]",EP,24/01/2025,
Aviana,STORM ABLAZE,https://t2.genius.com/unsafe/224x224/https%3A%2F%2Fimages.genius.com%2Fc4bc72345626e36faa20d94cf5285e6e.1000x1000x1.png,"[""Metalccore""]",Single,30/01/2025,
ENOX,Orion,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdfockf3NkBHKB44eS56G0-Zq-K5y78vf_hA&s,"[""Metalcore"",""Djent""]",EP,29/01/2025,
NOVELISTS,All For Nothing,https://e.snmc.io/i/600/s/9023abea857ecd9591776bd45bc6cea8/12983667/novelists-fr-all-for-nothing-Cover-Art.jpg,"[""Metalcore""]",Single,30/01/2025,
Aborted,"The Pain, will be Exquisite",https://f4.bcbits.com/img/a1550054045_10.jpg,"[""Death Metal"",""Grindcore""]",Single,28/01/2025,
AURAS,RED MERCURY,https://pbs.twimg.com/media/GidmvAiWgAANFo_?format=jpg&name=4096x4096,"[""Metalcore"",""Djent""]",Single,30/01/2025,
Straight Shot Home,Sunset,https://i.scdn.co/image/ab67616d00001e025db26ec22b543c4845400c6e,"[""Metalcore""]",Single,30/01/2025,
Caliban,Back from Hell,https://i.scdn.co/image/ab67616d00001e0256565d002e961d2f8415ca09,"[""Death Metal""]",Single,28/01/2025,
Face Yourself,Sideration,https://i.scdn.co/image/ab67616d00001e02a48c5f4325d0095a1067c57d,"[""Metalcore""]",Single,28/01/2025,
Within Destruction,CYBERGIRL,https://i.scdn.co/image/ab67616d00001e020d7978110b97293e50d2d594,"[""Deathcore""]",Single,29/01/2025,
Enterprise Earth,Descent into Madness,https://i.scdn.co/image/ab67616d00001e0285ef54daac1e8ff3d01dd3f9,"[""Deathcore""]",EP,30/01/2025,
Abbie Falls,Victim,,"[""Metalcore""]",Single,31/01/2025,
avoider,Katharsis,https://i.scdn.co/image/ab67616d00001e02998ae4abf04b60fd1a106e61,"[""Metalcore""]",Single,31/01/2025,
Ov Ruin,Infernal Flame,https://i.scdn.co/image/ab67616d00001e024a2ae8f62c8dd3fec4834f9e,"[""Deathcore""]",Single,31/01/2025,
Darko US,DETHMASK 3,https://i.scdn.co/image/ab67616d0000b273009b1468ea10cd8c7187a354,"[""Deathcore""]",Album,5/02/2025,
Synestia,Dies Irae,https://i.scdn.co/image/ab67616d0000b273ef8f0bf4bcd66c69b6b3cd20,"[""Deathcore""]",Single,5/02/2025,
Tómarúm,Shed This Erroneous Skin,https://i.scdn.co/image/ab67616d0000b273baa0274233ef755ace791709,"[""Black Metal""]",Single,6/02/2025,
Vicious Rain & Future Static,The Devil & Lovers,https://i.scdn.co/image/ab67616d0000b2733d3fa38e6980364f7885179c,"[""Metalcore""]",Single,6/02/2025,
Sugar Spine,Burnt Beyond Recognition,https://i.scdn.co/image/ab67616d0000b273e88a82095c22f336c22ab6a7,"[""Metalcore""]",Single,6/02/2025,
Stray From The Path,Kubrick Stare,https://i.scdn.co/image/ab67616d0000b27311ce0b74869b0dc3678991b8,"[""Hardcore""]",Single,5/02/2025,
ACCVSED &The Narrator,Don't Let Me Fall Apart,https://i.scdn.co/image/ab67616d0000b2730dee6c4222dd86c14ed6081c,"[""Metalcore""]",Single,7/02/2025,
Meet Your Maker,Cowards,https://i.scdn.co/image/ab67616d0000b273b764e992b8fe5da61cb5f31c,"[""Metalcore""]",Single,14/02/2025,
ten56.,Earwig,https://i.scdn.co/image/ab67616d0000b27332ad1785261fac2acd9d92c3,"[""Metalcore""]",Single,13/02/2025,
Face Yourself,Predatory,https://i.scdn.co/image/ab67616d0000b2735d8cf6348fb9165041133201,"[""Metalcore""]",Single,12/02/2025,
Hands Like Houses,ATMOSPHERICS,https://i.scdn.co/image/ab67616d0000b273082d866d5c2c909b54f7fe86,"[""Post-hardcore""]",Album,14/02/2025,
Shokran,Thirst for Revenge,https://i.scdn.co/image/ab67616d0000b273bd04a312461bcd7ba9947b31,"[""Metalcore""]",Single,14/02/2025,
Distant,Numb,https://i.scdn.co/image/ab67616d0000b27347f63552648e04e6f06fcfff,"[""Deathcore""]",Single,11/02/2025,
Ameonna,The Birth of Death,https://i.scdn.co/image/ab67616d0000b273127905fa855b31884a826810,"[""Deathcore""]",Single,14/02/2025,
LANDMVRKS,Blood Red,https://i.scdn.co/image/ab67616d0000b2735c7fdc734382ca138d3c57f6,"[""Metalcore""]",Single,13/02/2025,
Orthodox,Commit to Consequence (feat. Andrew Neufeld),https://i.scdn.co/image/ab67616d0000b27345fd604db1aecd38a43bd866,"[""Hardcore""]",Single,18/02/2025,
Crown Magnetar,Barbed Wire Noose,https://i.scdn.co/image/ab67616d0000b273a2de69236a9f59eba99634ec,"[""Deathcore""]",Single,18/02/2025,
Dal Av & Jackson Rose,Petrichor,https://i.scdn.co/image/ab67616d0000b2730491a80fb1e58b6126bd0043,"[""Metalcore""]",Album,20/02/2025,
God Complex,He Watches In Silence,https://i.scdn.co/image/ab67616d0000b27331da4508433047cede6eb47a,"[""???core""]",Single,21/02/2025,
GAI 荄 & Emmure,FALSE BOY,https://i.scdn.co/image/ab67616d0000b2730e7bfdf92b4d6ae6a161c427,"[""Metalcore""]",single,21/02/2025,
Axty,fragile,https://i.scdn.co/image/ab67616d0000b27330aae9e0b0b9585a532d7171,"[""Metalcore""]",Album,21/02/2025,
Silverstein,Antibloom,https://i.scdn.co/image/ab67616d0000b273e60beefd677570942c0a1310,"[""Post-Hardcore""]",Album,21/02/2025,
Traitors,Phobias,https://i.scdn.co/image/ab67616d0000b27330c83a8c2eb910b9e79046b8,"[""Deathcore""]",Album,21/02/2025,
To Obey a Tyrant,Frigore Inferni,https://i.scdn.co/image/ab67616d0000b273c9520987eeacf567d2c23a5e,"[""Deathcore, Symphonic""]",EP,21/02/2025,
Mugshot,Vale of Tears,https://i.scdn.co/image/ab67616d0000b273f5505cf07d0bb7944cdedc3b,"[""Hardcore""]",single,27/02/2025,
Acres,Bloodlust,https://i.scdn.co/image/ab67616d0000b273629f5e698b851ecd54c48145,"[""Metalcore""]",single,28/02/2025,
Dying Wish,I Brought You My Soul (Your World Brought Me Despair),https://i.scdn.co/image/ab67616d0000b2737000ec7d52035cd0a1f765c6,"[""Metalcore""]",single,26/02/2025,
Ov Ruin,Forsaken Soul,https://i.scdn.co/image/ab67616d0000b273e0df9bbf9af4196f9da396bf,"[""Deathcore""]",single,28/02/2025,
CABAL,Redemption Denied,https://i.scdn.co/image/ab67616d0000b27303ecda02c8b1acd9239460b8,"[""Deathcore""]",single,27/02/2025,
Tyrmfar,"The Reckoning, Pt.2",https://i.scdn.co/image/ab67616d0000b27327f2a4a7bf571b699445a8e5,"[""Deathcore""]",single,27/02/2025,
Body Prison,Everything You Never Wanted To See,https://i.scdn.co/image/ab67616d0000b273f2d470db4178cfb1fb6a18ac,"[""Deathcore""]",album,28/02/2025,
Nylist,To The End,https://i.scdn.co/image/ab67616d0000b273f61010942cf6123851236ec6,"[""Deathcore""]",single,28/02/2025,
Bleed From Within,God Complex,https://i.scdn.co/image/ab67616d0000b27305f0c16106d4463dc945b069,"[""???Core""]",single,25/02/2025,
Employed To Serve,Fallen Star,https://i.scdn.co/image/ab67616d0000b27391d63b51d5ea00cdcce3ff41,"[""Metalcore""]",single,26/02/2025,
Wither//Bloom,STAIN,https://i.scdn.co/image/ab67616d0000b2735ff008509ae9a56ade832947,"[""Metalcore""]",single,28/02/2025,
Whitechapel,Hymns in Dissonance,https://i.scdn.co/image/ab67616d0000b2736d4579c80aa8bf7623d5cea3,"[""Deathcore""]",album,07/03/2025,
Vulfpeck,Clarity of Cal,https://i.scdn.co/image/ab67616d0000b273a41dfd7aa0fb93cfb3b896a9,"[""Funk""]",album,04/03/2025,
Spiritbox,Tsunami Sea,https://i.scdn.co/image/ab67616d0000b273ca5c3280d995a78c34bdf210,"[""Metalcore""]",album,07/03/2025,
Vildhjarta,+ sargasso +,https://i.scdn.co/image/ab67616d0000b273c9a41c65f42fd810b1da6fcf,"[""Thall""]",single,07/03/2025,
PALESKIN & Love Is Noise,Valentina,https://i.scdn.co/image/ab67616d0000b2731da8c615a075e0f22280782b,"[""Metalcore""]",single,06/03/2025,
Within Destruction,INCOMPLETE,https://i.scdn.co/image/ab67616d0000b273b48856d074a43ca1ffc4b324,"[""Deathcore""]",single,05/03/2025,
Thornhill,TONGUES,https://i.scdn.co/image/ab67616d0000b2735bd068f74714833f435019ed,"[""Metalcore""]",single,06/03/2025,
Tómarúm,Shallow Ecstasy,https://i.scdn.co/image/ab67616d0000b2733f99d62f2279cf673529f13d,"[""Black Metal""]",single,06/03/2025,
Thus Spoke Zarathustra,I Can't Save You,https://i.scdn.co/image/ab67616d0000b273aa3d5fa7e7c0aa62ad109bb1,"[""Deathcore""]",single,04/03/2025,
silverlake murder,Vidrig Död,https://i.scdn.co/image/ab67616d0000b27341731921db28d9164a1bf31d,"[""Metalcore, Hardcore""]",single,07/03/2025,
Crown Magnetar,Punishment,https://i.scdn.co/image/ab67616d0000b2737e57f95e50be7859444476e9,"[""Deathcore""]",single,07/03/2025,
Nasty & Paleface Swiss,Talk,https://i.scdn.co/image/ab67616d0000b27339b2369561d53b49b0a03f4b,"[""Deathcore""]",single,07/03/2025,
